# ==============================================================
# CASO 1 - DATOS
# Una térmica, una hidráulica, pérdidas y balance explícito
# de embalse
# ==============================================================

# --------------------------------------------------------------
# 1) CONJUNTO DE PERIODOS
# --------------------------------------------------------------
set T := 1 2 3 4 5 6;

# --------------------------------------------------------------
# 2) DEMANDA [MW]
# --------------------------------------------------------------
param load :=
1 1200
2 1500
3 1100
4 1800
5  950
6 1300
;

# --------------------------------------------------------------
# 3) PARÁMETROS GENERALES
# --------------------------------------------------------------
param n            := 12;        # duración del periodo [h]
param inflow_const := 2000;      # aporte neto simplificado [acre-ft/h]
param losscof      := 0.00008;   # coeficiente de pérdidas
param costcoef     := 1.15;      # factor de costo

# --------------------------------------------------------------
# 4) COSTO TÉRMICO
#    C = c0 + c1*P + c2*P^2
# --------------------------------------------------------------
param c0 := 500;
param c1 := 8;
param c2 := 0.0016;

# --------------------------------------------------------------
# 5) EMBALSE
# --------------------------------------------------------------
param v0   := 100000;
param vmin := 60000;
param vmax := 120000;

# --------------------------------------------------------------
# 6) LÍMITES DE GENERACIÓN [MW]
# --------------------------------------------------------------
param pthmin := 150;
param pthmax := 1500;
param phmin  := 0;
param phmax  := 1000;
